Actual_Demand,Predicted_Demand
466.4,437.44003
477.69999999999993,446.0651
488.99999999999994,454.5897
153.0,462.95197
478.00000000000006,213.3162
107.0,456.89362
361.0,177.59969
615.0,380.33768
105.0,549.03503
334.0,177.51392
692.0,361.8617
824.3333333333334,594.84985
956.6666666666667,680.09155
1089.0,757.6091
572.5,827.703
56.0,502.33545
173.0,123.103745
290.0,231.9687
263.875,321.91342
237.75,309.73376
211.62500000000003,295.0922
185.5,276.28302
159.375,256.1347
133.25,235.17493
107.125,213.82928
81.0,192.33684
55.0,170.82574
1173.0,149.44225
59.99999999999999,818.60724
273.0,124.096886
320.0,318.47864
249.49999999999997,340.33615
179.0,292.46518
108.49999999999999,241.12648
38.0,187.96097
137.0,133.95015
527.0,213.91501
48.0,489.83746
44.0,135.45868
40.0,142.32045
36.0,133.95062
180.66666666666666,132.08629
325.3333333333333,245.1672
470.00000000000006,351.5988
488.1428571428571,452.90338
506.28571428571433,464.07748
524.4285714285714,474.35806
542.5714285714286,484.0835
560.7142857142857,495.0237
578.8571428571429,506.8569
597.0,519.2593
598.0,531.91095
599.0,533.2755
600.0,534.7589
508.8333333333333,536.08594
417.66666666666663,474.88785
326.5,413.18307
235.33333333333331,349.24606
144.16666666666663,284.13394
52.99999999999999,217.40341
391.5,148.73787
730.0,402.96906
42.0,623.9328
492.0,125.950226
35.0,468.8686
193.0,119.108376
351.0,257.5712
409.0,369.21436
476.85714285714295,412.65784
544.7142857142858,459.81232
612.5714285714286,503.86215
680.4285714285714,546.75024
748.2857142857143,588.6702
816.1428571428571,629.8117
884.0000000000001,670.2118
657.0,709.83923
405.0,565.7883
153.0,395.6452
230.99999999999997,210.64856
309.0,280.58444
387.0,341.2152
264.0,401.70398
141.0,312.66208
18.0,220.43488
229.33333333333334,122.470604
440.6666666666667,286.8703
652.0,436.31354
564.0,576.5662
476.0,517.67114
388.0,455.45428
546.0,390.07187
970.0,498.92783
935.7142857142857,754.46185
901.4285714285716,740.00885
867.1428571428572,722.0587
832.8571428571429,698.69305
798.5714285714286,677.16473
764.2857142857142,656.59424
730.0,636.657
838.0,616.89294
719.0,685.49725
600.0,610.9859
532.0,536.84357
464.0,492.74133
396.0,447.6597
328.0,402.24826
260.0,355.59256
192.0,307.59256
367.0,258.16415
62.0,388.53638
234.0,153.44304
406.0,293.17477
331.0,412.92358
256.0,359.49646
181.0,303.667
185.85714285714286,244.53992
190.71428571428572,247.78456
195.57142857142856,251.11499
200.42857142857142,255.42766
205.28571428571428,259.4244
